module_no,title,url,x-rel,y-rel
1,Utgångspunkt för lyckad export,http://This_is_pilot blankspace,38,15
2,Välja exportmarknad,http://thisisnotavailableyet.foo,50,24
3,Öka hållbarheten,http://thisisnotavailableyet.foo,64,28
4,Segmentera marknaden,http://thisisnotavailableyet.foo,68,39
5,Formulera säljargument,http://thisisnotavailableyet.foo,71,48
6,Sätta pris,http://thisisnotavailableyet.foo,81,54
7,Analysera konkurrensen,http://thisisnotavailableyet.foo,81,66
8,Välja distributionsstrategi,http://thisisnotavailableyet.foo,71,71
9,Hitta samarbetspartners,http://thisisnotavailableyet.foo,66,81
10,Skriva avtal,http://thisisnotavailableyet.foo,50,85
11,Planera marknadsföring,http://thisisnotavailableyet.foo,33,85
12,Göra etableringskalkyl,http://thisisnotavailableyet.foo,24,71
13,Få koll på exportvillkor,http://thisisnotavailableyet.foo,16,48
